Metal Atom,Atomic Mass of Metal,Support Material,Support Material Class,Metal Loading,Coord Env,Coord Num,Initial Conc of Catalyst,Normalised Conc of Catalyst,Pollutant,Pollutant Code,Pollutant Class,Molar Mass of Pollutant,Initial Conc of Pollutant,Normalised Conc of Pollutant,Initial Conc of Oxidant,Normalised Conc of Oxidant,Oxidant,Has non-rad,Has SO4,Has OH,Has O2,Has 1O2,Has h+,Rate Constant,Normalised Rate Constant,Degradation Efficiency,Experiment Time,Turnover Rate,Log(TOF),Pollutants degraded per min,Power of Light,Power of Light Class,Catalyst Reusablility,Reusablilty Cycles,Retention Per Cycle,Log_retention,AOP technique,DOI
Barium,137.33,Carbon Nitride,Carbon Nitride,1.78%,N,1,400,0.848,Diclofenac,DCF,Pharmaceutical,296.15,8,-0.497,0,-0.847,No Oxidant,0,0,1,1,1,0,0.2047,0.087,100%,20,0.026052,-1.584,0.001350667,300W Xe lamp,High (>300W),80%,5,0.94574,-0.02423,Photocatalysis,10.1016/j.jhazmat.2021.125936
Iron,55.845,N-doped porous carbon,Carbon,1.57%,N,3.87,100,-0.465,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,0.6,-0.844,PMS,1,1,1,1,1,0,0.0906,0.173,96%,30,0.04494,-1.347,0.001263424,No Light,No Light,80%,5,0.94574,-0.02423,PMS,10.1016/j.seppur.2025.135572
Iron,55.845,N-doped porous carbon,Carbon,1.57%,N,3.87,100,-0.465,Tetracycline,TC,Antibiotic,444.43,10,-0.404,0.6,-0.844,PMS,1,1,1,1,1,0,,NIL,95.10%,30,0.025371,-1.596,0.000713273,No Light,No Light,80%,5,0.94574,-0.02423,PMS,10.1016/j.seppur.2025.135572
Iron,55.845,N-doped porous carbon,Carbon,1.57%,N,3.87,100,-0.465,Atrazine,ATZ,Pesticide,215.68,10,-0.404,0.6,-0.844,PMS,1,1,1,1,1,0,,NIL,77%,30,0.04233,-1.373,0.001190035,No Light,No Light,80%,5,0.94574,-0.02423,PMS,10.1016/j.seppur.2025.135572
Ruthenium,101.07,NiFe layered double hydroxide,Layered Hydroxide,0.77%,O,,100,-0.465,Carbamazepine,CBZ,Pharmaceutical,236.27,20,0.06,200,0.023,PMS,1,1,1,1,1,0,0.118,0.065,100%,25,0.44444,-0.352,0.003385957,No Light,No Light,61%,4,0.84809,-0.07156,PMS,10.1016/j.seppur.2024.127858 
Cobalt,58.933,Crystalline V3O7·H2O,Metal Oxides,2.35%,O,3.3,25,-0.793,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,308,0.493,PMS,1,0,0,0,0,0,0.307,0.077,82.50%,5,0.653482,-0.185,0.006514529,No Light,No Light,,,,,PMS,10.1016/j.jhazmat.2025.140768
Iron,55.845,N-doped carbon,Carbon,0.67%,N,4,100,-0.465,Perfluorooctanoic Acid,PFOA,Industrial Pollutant,414.07,1,-0.822,30,-0.717,PMS,1,0,0,0,1,0,,NIL,90.50%,120,0.001518,-2.819,1.82E-05,No Light,No Light,80%,4,0.92832,-0.0323,PMS,10.1016/j.cej.2025.162424 
Iron,55.845,Carbon Nitride,Carbon Nitride,1.70%,Mixed,3.9,50,-0.684,Oxytetracycline,OTC,Antibiotic,460.43,10,-0.404,50,-0.63,PMS,1,1,1,1,1,1,0.067,0.254,82.40%,30,0.039193,-1.407,0.000596544,300W Xe lamp,High (>300W),73.40%,4,0.90205,-0.04477,Photo-PMS,10.1016/j.jece.2024.115130 
Molybdenum,95.95,MIL-101(Fe) with oxygen vacancies,MOF/COF,1.00%,O,,200,-0.027,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,200,0.023,PMS,1,1,1,1,1,1,,NIL,96.80%,220,0.008334,-2.079,0.000173721,300W Xe lamp,High (>300W),70%,5,0.91469,-0.03873,Photo-PMS,10.1016/j.psep.2025.106778 
Molybdenum,95.95,MIL-101(Fe) with oxygen vacancies,MOF/COF,1.00%,O,,200,-0.027,Ciprofloxacin,CIP,Antibiotic,331.34,10,-0.404,200,0.023,PMS,1,1,1,1,1,1,,NIL,79%,220,0.005199,-2.284,0.000108375,300W Xe lamp,High (>300W),70%,5,0.91469,-0.03873,Photo-PMS,10.1016/j.psep.2025.106778 
Molybdenum,95.95,MIL-101(Fe) with oxygen vacancies,MOF/COF,1.00%,O,,200,-0.027,Carbamazepine,CBZ,Pharmaceutical,236.27,10,-0.404,200,0.023,PMS,1,1,1,1,1,1,,NIL,90%,220,0.008307,-2.081,0.000173146,300W Xe lamp,High (>300W),70%,5,0.91469,-0.03873,Photo-PMS,10.1016/j.psep.2025.106778 
Molybdenum,95.95,MIL-101(Fe) with oxygen vacancies,MOF/COF,1.00%,O,,200,-0.027,Naproxen,NPX,Pharmaceutical,230.26,10,-0.404,200,0.023,PMS,1,1,1,1,1,1,,NIL,100%,220,0.009471,-2.024,0.000197405,300W Xe lamp,High (>300W),70%,5,0.91469,-0.03873,Photo-PMS,10.1016/j.psep.2025.106778 
